scenario_id,same_initialization,waypoints,method,iterations,stopping_reason,runtime_s,final_objective,final_penalized_objective,final_penalized_gradient_norm,maximum_sampled_constraint_violation,exact_feasible,minimum_clearance_m,condition_number,hessian_classification
25,True,5,Gradient Descent,3000,maximum_iterations,6.315201759338379,0.37149688275594667,0.37149688275594667,0.0447232443164158,0.0,True,0.005280936892067878,,positive semidefinite
25,True,5,Heavy-Ball,3000,maximum_iterations,6.057652950286865,0.45331187038703136,0.45331187038703136,0.07057476442524042,0.0,True,0.5584101587196262,,positive semidefinite
26,True,5,Gradient Descent,3000,maximum_iterations,6.2172815799713135,0.34552210894810076,0.34552210894810076,0.009899595597732035,0.0,True,0.0020287160402781,,positive semidefinite
26,True,5,Heavy-Ball,3000,maximum_iterations,6.104800462722778,0.3509639786479935,0.3509639786479935,0.023501622576952735,0.0,True,0.31878313214056275,,positive semidefinite
27,True,5,Gradient Descent,3000,maximum_iterations,6.213616371154785,0.42483539603075166,0.42483539603075166,0.021483523232826686,0.0,False,-0.0030074640155806076,,positive semidefinite
27,True,5,Heavy-Ball,3000,maximum_iterations,6.314984321594238,0.43543699937113495,0.43543699937113495,0.02138193334239848,0.0,True,0.13577911679812105,,positive semidefinite
28,True,5,Gradient Descent,3000,maximum_iterations,4.729438066482544,0.3460766578003113,0.3460766578003113,0.0408200083822747,0.0,True,0.008646710409371927,,positive semidefinite
28,True,5,Heavy-Ball,3000,maximum_iterations,4.830682277679443,0.41057429732819684,0.41057429732819684,0.0759899561491941,0.0,True,0.09223062371251722,,positive semidefinite
29,True,5,Gradient Descent,3000,maximum_iterations,4.863906621932983,0.2797743592633439,0.2797743592633439,0.008161806655080348,0.0,True,0.004015183980834669,,positive semidefinite
29,True,5,Heavy-Ball,3000,maximum_iterations,4.8420655727386475,0.2811967360605244,0.2811967360605244,0.00926089057493927,0.0,True,0.1384616598871713,,positive semidefinite
30,True,5,Gradient Descent,3000,maximum_iterations,6.341359376907349,0.4824056324449212,715.2920287914587,3990.428203158956,0.8454641399343634,False,-0.23659808426664442,,positive semidefinite
30,True,5,Heavy-Ball,3000,maximum_iterations,6.277661561965942,0.4823979105321244,715.2920210695547,3990.4282041934625,0.8454641399343634,False,-0.23659808426664442,,positive semidefinite
31,True,5,Gradient Descent,3000,maximum_iterations,4.726884841918945,0.290909184740377,0.290909184740377,0.033404947333687755,0.0,True,0.0038349068033278755,,positive semidefinite
31,True,5,Heavy-Ball,3000,maximum_iterations,4.702054738998413,0.3112283014759889,0.3112283014759889,0.0379579373004159,0.0,True,0.16321327167072885,,positive semidefinite
32,True,5,Gradient Descent,3000,maximum_iterations,6.256566047668457,0.4245485067185484,0.4245485067185484,0.04088497456894713,0.0,False,-0.00039492307941380034,,positive semidefinite
32,True,5,Heavy-Ball,3000,maximum_iterations,6.3140974044799805,0.47503466378654513,0.47503466378654513,0.04728105523478332,0.0,True,0.16235307401934684,,positive semidefinite
33,True,5,Gradient Descent,3000,maximum_iterations,4.9746551513671875,0.4327520302372777,362.7848357246701,3122.124113688287,0.6019568661018639,False,-0.15742047876968135,,positive semidefinite
33,True,5,Heavy-Ball,3000,maximum_iterations,4.927231073379517,0.432742531154905,362.78482622525166,3122.1241007425783,0.6019568661018635,False,-0.15742047876968135,,positive semidefinite
34,True,5,Gradient Descent,3000,maximum_iterations,4.61205792427063,0.3796163209083233,0.3796163209083233,0.037255641164123846,0.0,True,0.0012243968671410421,,positive semidefinite
34,True,5,Heavy-Ball,3000,maximum_iterations,4.714731931686401,0.4057807902605832,0.4057807902605832,0.03638924478364745,0.0,True,0.3968953409466949,,positive semidefinite
35,True,5,Gradient Descent,3000,maximum_iterations,6.281967401504517,0.6500128925230264,1475.6457296436292,913.892644383985,0.8086249670920354,False,-0.6062489371019306,264477377.39129454,positive definite
35,True,5,Heavy-Ball,3000,maximum_iterations,6.375617980957031,0.6497998529300977,1474.7307327987512,918.2993953780382,0.8095164374661804,False,-0.6073526083779842,288835801.55834615,positive definite
36,True,5,Gradient Descent,3000,maximum_iterations,4.751389980316162,0.45941717041968433,0.45941717041968433,0.032576450385309604,0.0,True,0.02011041479220177,,positive semidefinite
36,True,5,Heavy-Ball,3000,maximum_iterations,4.786928653717041,0.47241026680825016,0.47241026680825016,0.05534835797472499,0.0,True,0.2035233033807291,,positive semidefinite
37,True,5,Gradient Descent,3000,maximum_iterations,6.1924731731414795,0.18496004645514272,0.18496004645514272,0.025127093101078482,0.0,True,0.0007547665082909827,,positive semidefinite
37,True,5,Heavy-Ball,3000,maximum_iterations,6.1307759284973145,0.18807751955315286,0.18807751955315286,0.024544066409946268,0.0,True,0.04757615083958777,,positive semidefinite
38,True,5,Gradient Descent,3000,maximum_iterations,4.809273958206177,0.3210463411626704,0.3210463411626704,0.02213817958727356,0.0,True,0.0015097591258226295,,positive semidefinite
38,True,5,Heavy-Ball,3000,maximum_iterations,4.654589653015137,0.3199923828827396,0.3199923828827396,0.015100945169205399,0.0,True,0.0045889645005128266,,positive semidefinite
39,True,5,Gradient Descent,3000,maximum_iterations,4.609835386276245,0.29543483226348977,0.29543483226348977,0.0407098736462771,0.0,True,0.01240047435486491,,positive semidefinite
39,True,5,Heavy-Ball,3000,maximum_iterations,4.7605321407318115,0.3505567041278107,0.3505567041278107,0.05945078040808296,0.0,True,0.19150032788466453,,positive semidefinite
40,True,5,Gradient Descent,3000,maximum_iterations,4.66741681098938,0.32981297523267855,0.32981297523267855,0.02194912186159286,0.0,False,-0.0029121925314594677,,positive semidefinite
40,True,5,Heavy-Ball,3000,maximum_iterations,4.6110405921936035,0.37236166390239644,0.37236166390239644,0.06056195440389386,0.0,True,0.4728436798876905,,positive semidefinite
41,True,5,Gradient Descent,3000,maximum_iterations,6.715825319290161,0.4702437121820784,845.2262066821621,3625.26190308009,0.9191060632141184,False,-0.2977816168571652,,positive semidefinite
41,True,5,Heavy-Ball,3000,maximum_iterations,6.242292881011963,0.4702235569664362,845.2261865265838,3625.261888858124,0.9191060632141181,False,-0.2977816168571652,,positive semidefinite
42,True,5,Gradient Descent,3000,maximum_iterations,4.805452108383179,0.3848033361270649,0.3848033361270649,4.130686654199164,0.0,True,0.01936992062432097,,positive semidefinite
42,True,5,Heavy-Ball,3000,maximum_iterations,4.71008825302124,0.5976744420518953,0.5976744420518953,0.10647032581674423,0.0,True,0.1605168183992134,,positive semidefinite
43,True,5,Gradient Descent,3000,maximum_iterations,6.350947856903076,0.32986302811918033,0.32986302811918033,0.03193108767590876,0.0,True,0.008452257868329927,,positive semidefinite
43,True,5,Heavy-Ball,3000,maximum_iterations,6.253530263900757,0.3265525241984695,0.3265525241984695,0.024086328366290967,0.0,True,0.006177761013697269,,positive semidefinite
44,True,5,Gradient Descent,3000,maximum_iterations,6.301037073135376,0.7076009751111569,2677.783258514526,2591.4162117350515,1.2660555596656415,False,-0.5370620058359501,13054593.49789083,positive definite
